TYPE,REGION,RGNAME,AREA,CODE,ACRO,BRNAME,EMAIL
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2403,BKM,BATANGAS CITY-KUMINTANG,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2404,BAT,BATANGAS CITY-PALLOCAN WEST,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2405,BAU,BATANGAS-BAUAN,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2407,LMR,BATANGAS-LEMERY,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2408,LPA,LIPA CITY-B. MORADA,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2409,LIP,LIPA CITY-AYALA HIGHWAY,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2412,NSB,BATANGAS-NASUGBU,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2489,TNU,BATANGAS-TANAUAN,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,6309,MAB,BATANGAS-MABINI,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,6316,TAN,BATANGAS-TANAUAN-VICTORY MALL,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,6328,BTG,BATANGAS CITY-DIEGO SILANG,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,6342,BTM,BATANGAS-MALVAR,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,6349,ROS,BATANGAS-ROSARIO,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,6366,STB,BATANGAS-STO. TOMAS MARKET,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2427,BRP,BACOOR CITY-PANAPAAN,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2428,CVC,CAVITE CITY-CARIDAD,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2429,CDM,DASMARIÑAS-AGUINALDO HI-WAY,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2430,CVT,CAVITE-GEN. TRIAS,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2431,CEP,CAVITE-ROSARIO-CEPZ,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2432,DMS,DASMARIÑAS-SALITRAN,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2433,IMS,CAVITE-IMUS BAYAN,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2434,IMU,CAVITE-IMUS-AGUINALDO,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2435,KWT,CAVITE-KAWIT-BINAKAYAN,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2436,MLN,BACOOR CITY-MOLINO,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2437,NAC,CAVITE-NAIC,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2438,SLG,CAVITE-SILANG,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2439,TGY,TAGAYTAY-MENDEZ,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2440,TGT,TAGAYTAY-AGUINALDO,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2441,TNZ,CAVITE-TANZA,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2458,PCT,LAGUNA-SOUTHWOODS,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2465,LCK,CAVITE-KAWIT-CENTENNIAL ROAD,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2466,LCS,CAVITE-SILANG-LUCSUHIN,
BBG,SOL,SOUTHERN LUZON 2,SOL 2,2467,CTM,CAVITE-TRECE MARTIRES,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2451,BNN,LAGUNA-BIÑAN,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2452,BIN,CAVITE-CARMONA,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2453,CBY,LAGUNA-CABUYAO-ABI,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2454,CLB,LAGUNA-CALAMBA-POBLACION,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2455,CMB,LAGUNA-CALAMBA-PARIAN,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2456,BUC,LAGUNA-CALAMBA-BUCAL,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2457,CLX,LAGUNA-CALAMBA CROSSING,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2459,PSR,LAGUNA-PASEO DE SANTA ROSA,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2460,SPD,LAGUNA-SAN PEDRO,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2461,SPL,LAGUNA-SAN PEDRO-NAT'L. HI-WAY,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2462,STR,LAGUNA-STA. ROSA,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2463,LSR,LAGUNA-CABUYAO-CENTRO MALL,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2464,UPL,LAGUNA-UPLB,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2484,SNP,LAGUNA-SAN PABLO CITY COLAGO,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2485,SPB,LAGUNA-SAN PABLO CITY,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2486,SNL,LAGUNA-SINILOAN,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2487,STC,LAGUNA-STA. CRUZ-P. GUEVARRA,
BBG,SOL,SOUTHERN LUZON 3,SOL 3,2488,SCL,LAGUNA-STA. CRUZ-REGIDOR,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2476,AMN,QUEZON-ATIMONAN,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2478,CND,QUEZON-CANDELARIA,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2479,GMC,QUEZON-GUMACA,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2480,LOP,QUEZON-LOPEZ,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2481,LCA,LUCENA CITY-QUEZON AVE.,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2482,LUQ,LUCENA CITY-ENRIQUEZ,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2483,MLK,MARINDUQUE-STA. CRUZ,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2501,DET,CAMARINES NORTE-DAET-CARLOS II,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2502,DCN,CAMARINES NORTE-DAET-PIMENTEL AVE.,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,6324,INF,QUEZON-INFANTA,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,6333,LUC,LUCENA CITY-RED V,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,6356,PBL,QUEZON-PAGBILAO,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,6362,LBN,QUEZON-LUCBAN,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2426,BQR,BACOOR CITY-AGUINALDO HI-WAY,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2503,GOA,CAMARINES SUR-GOA,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2504,IRG,IRIGA CITY-SAN ROQUE,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2505,LGO,ALBAY-LIGAO,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2506,NGA,NAGA CITY-GEN. LUNA,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2507,NAX,NAGA CITY-MAGSAYSAY AVE.,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2508,NAG,NAGA CITY-PANGANIBAN,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2509,PLI,CAMARINES SUR-PILI,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2510,PLG,ALBAY-POLANGUI,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2527,BNS,SORSOGON-BULAN,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2528,DRG,ALBAY-DARAGA,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2529,LGS,LEGAZPI CITY-DON B. ERQUIAGA,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2530,LGP,LEGAZPI CITY-IMPERIAL,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2531,MBT,MASBATE CITY,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2532,SSN,SORSOGON CITY-RIZAL,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2533,SSG,SORSOGON CITY-MAGSAYSAY,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2534,TBC,ALBAY-TABACO,
BBG,SOL,SOUTHERN LUZON 5,SOL 5,2535,VRC,CATANDUANES-VIRAC,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,2406,CPN,OR. MINDORO-CALAPAN,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,2410,MBU,OCC. MINDORO-MAMBURAO,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,2411,MGR,OCC. MINDORO-SAN JOSE,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,2413,ODN,ROMBLON-ODIONGAN,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,2414,PML,OR. MINDORO-PINAMALAYAN,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,2415,RMB,ROMBLON-REPUBLIKA,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,2526,AYC,LEGAZPI CITY-ALBAY CAPITOL,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,6302,PIN,OR. MINDORO-PINAMALAYAN MALVAR,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,6303,ROM,OR. MINDORO-ROXAS,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,6305,BOO,OR. MINDORO-BONGABONG,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,6306,VIC,OR. MINDORO-VICTORIA,
BBG,SOL,SOUTHERN LUZON 6,SOL 6,6314,PGR,OR. MINDORO-PUERTO GALERA,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,1488,PTO,PALAWAN-PUERTO PRINCESA-VALENCIA,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,1489,PPP,PALAWAN-PUERTO PRINCESA-SAN PEDRO,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3003,CBU,CEBU-M.C. BRIONES,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3004,CLN,CEBU-COLON,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3005,FTO,CEBU-FUENTE OSMEÑA,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3006,FOS,CEBU-ESCARIO,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3007,GOR,CEBU BUSINESS PARK,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3008,JKM,CEBU-JAKOSALEM,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3009,LHG,CEBU-LAHUG,pnb_lahug@pnb.com.ph
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3010,OPC,CEBU-BANAWA,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3011,CIP,CEBU I.T. PARK,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3012,UCB,CEBU UPTOWN,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3051,CBN,CEBU-CARBON,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3054,MMB,CEBU-MAMBALING,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3055,MIN,CEBU-MINGLANILLA,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3056,TBN,CEBU-TABUNOK NAT'L. HI-WAY,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,3057,TAB,CEBU-TABUNOK-TALISAY,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,6361,MCB,CEBU-MABOLO,
CCU,VISAYAS,VISAYAS 1,VISAYAS 1,8020,,CEBU LOANS SERVICE CENTER,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3001,BNL,CEBU-BANILAD-MA. LUISA PARK,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3002,BLA,CEBU-BANILAD-FORTUNA,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3026,ACS,CEBU-MANDAUE-A. CORTES,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3027,BAA,CEBU-BANTAYAN,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3028,BOG,CEBU-BOGO,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3029,CNM,CEBU-MANDAUE CENTRO,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3030,CSN,CEBU-CONSOLACION,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3031,DAN,CEBU-DANAO,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3032,LPL,CEBU-LAPU-LAPU-PAJO,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3033,LAP,CEBU-LAPU-LAPU MARKET,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3035,MDU,CEBU-MANDAUE-LOPEZ JAENA,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3036,MSD,CEBU-MANDAUE-SUBANGDAKU,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3037,MEP,CEBU-MEPZ,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3038,MSN,CEBU-MANDAUE-NORTH ROAD,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3039,PSO,CEBU-LAPU-LAPU-PUSOK,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3040,TLB,CEBU-TALAMBAN,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,3042,LMB,CEBU-LAPU-LAPU-MARIBAGO,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,4157,TAW,CEBU-LILOAN,
BBG,VISAYAS,VISAYAS 2,VISAYAS 2,6367,MDE,CEBU-MANDAUE-CASUNTINGAN,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3052,CRC,CEBU-CARCAR,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3053,IMT,TAGBILARAN-ISLAND CITY MALL,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3058,TAG,TAGBILARAN-C.P. GARCIA AVE.,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3059,TGN,TAGBILARAN-ALTURAS MALL,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3060,TLD,CEBU-TOLEDO,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3061,TBG,BOHOL-TUBIGON,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3062,UBB,BOHOL-UBAY,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3063,LPB,BOHOL-PANGLAO ISLAND,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3064,LBT,BOHOL-TALIBON,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3082,BAI,NEGROS OR.-BAIS CITY,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3083,BWN,NEGROS OR.-BAYAWAN,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3086,DGT,DUMAGUETE CITY-SILLIMAN AVE.,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3087,BYW,DUMAGUETE CITY-SOUTH ROAD,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3088,DUM,DUMAGUETE CITY-LOCSIN,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3095,LSQ,SIQUIJOR-LARENA,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3096,TJY,NEGROS OR.-TANJAY,
BBG,VISAYAS,VISAYAS 3,VISAYAS 3,3131,CTB,CEBU-MOALBOAL,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3076,AML,BACOLOD-EAST-BURGOS,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3077,BCD,BACOLOD-LACSON,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3078,KBK,BACOLOD-HILADO,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3079,BAR,BACOLOD-ARANETA,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3080,BLB,BACOLOD-LIBERTAD,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3081,LCN,BACOLOD-NEGROS CYBER CENTRE,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3084,BBG,NEGROS OCC.-BINALBAGAN,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3085,CDZ,NEGROS OCC.-CADIZ CITY,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3089,GHL,NEGROS OR.-GUIHULNGAN,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3090,KKL,NEGROS OCC.-KABANKALAN CITY,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3091,LCR,NEGROS OCC.-LA CARLOTA CITY,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3092,LZG,BACOLOD-LUZURIAGA,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3093,SNC,NEGROS OCC.-SAN CARLOS CITY,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3094,SLY,NEGROS OCC.-SILAY CITY,
BBG,VISAYAS,VISAYAS 4,VISAYAS 4,3097,VTR,NEGROS OCC.-VICTORIAS CITY,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3101,ATQ,ANTIQUE-T.A. FORNIER,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3103,DLN,ILOILO-DIVERSION ROAD,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3104,ILO,ILOILO-IZNART,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3105,ALD,ILOILO-ALDEGUER,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3106,GLI,ILOILO-GEN. LUNA,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3112,LED,ILOILO-LEDESMA,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3113,MGA,ILOILO-MIAG-AO,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3115,PLB,ILOILO-PLAZA LIBERTAD,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3120,SBI,ILOILO-STA. BARBARA,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,3102,BRY,BORACAY-STATION 2,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,3107,JRO,ILOILO-JARO,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,3108,JAR,ILOILO-JARO HECHANOVA,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,3109,KLB,AKLAN-KALIBO-PASTRANA,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,3114,PSI,ILOILO-PASSI CITY,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,3116,POT,ILOILO-POTOTAN,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,3117,RXS,CAPIZ ROXAS-C.M. RECTO,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,3118,ROX,CAPIZ-ROXAS DOWNTOWN,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,3119,SJA,ANTIQUE-SAN JOSE,
BBG,VISAYAS,VISAYAS 6,VISAYAS 6,6323,CAT,AKLAN-CATICLAN,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3110,KAL,AKLAN-KALIBO-MARTELINO,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3126,BYB,SOUTHERN LEYTE-SOGOD,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3127,BYL,LEYTE-BAYBAY CITY,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3128,BRG,EASTERN SAMAR-BORONGAN CITY,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3129,CBG,SAMAR-CALBAYOG CITY,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3130,CTR,NORTHERN SAMAR-CATARMAN,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3132,CTG,SAMAR-CATBALOGAN CITY,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3133,DWT,LEYTE-PALO,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3134,GUI,EASTERN SAMAR-GUIUAN,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3135,MAS,SOUTHERN LEYTE-MAASIN CITY,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3136,NVL,BILIRAN-NAVAL,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3137,ORM,LEYTE-ORMOC CITY-BONIFACIO,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3138,ORC,LEYTE-ORMOC CITY-COGON,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3139,PLP,LEYTE-PALOMPON,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3140,TCN,TACLOBAN CITY-JUSTICE ROMUALDEZ,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3141,TCL,TACLOBAN CITY-ZAMORA,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3142,LHI,SOUTHERN LEYTE-HINUNANGAN,
BBG,VISAYAS,VISAYAS 7,VISAYAS 7,3143,LBY,LEYTE-BAYBAY CITY-VSU,
